"input","output"
"幾天","幾天"
"百分之百","百分之百_A"
"百分之百","百分之百_B"
"好多","好多"
"推鉛球","推鉛球"
"算盤","算盤"
"會","會_N"
"會","會_S"
"原住民","原住民_A"
"以上","以上"
"豐富","豐富"
"附件","附件"
"伴","伴"
"成","成"
"積怨","積怨_A"
"積怨","積怨_B"
"積怨","積怨_C"
"跨越","跨越"
"行動","行動"
"增加","增加"
"加油","加(汽)油"
"上癮","上癮_A"
"上癮","上癮_B"
"地址","地址_A"
"地址","地址_B"
"地址","地址_C"
"地址","地址_D"
"調配","調配"
"冒險","冒險_A"
"冒險","冒險_B"
"冒險","冒險_C"
"冒險","冒險_D"
"事情","事情"
"影響","影響"
"慈愛","慈愛"
"蓋章","蓋章"
"危險","危險"
"怕","怕_S"
"非","非_A"
"非","非_B"
"到底","到底"
"下午","下午_B"
"下午","下午_A"
"再","再_A"
"再","再_B"
"同意","同意_B"
"同意","同意_A"
"耕田","耕田"
"空軍","空軍"
"飛機","飛機"
"機場","機場"
"阿里山","阿里山"
"完全","完全"
"從早到晚","從早到晚_A"
"從早到晚","從早到晚_B"
"光了","光了_A"
"光了","光了_B"
"差不多","差不多"
"快好了","快好了"
"光棍","光棍_A"
"過了","過了_B"
"已經","已經_B"
"也","也"
"總是","總是"
"救護車","救護車"
"兒童樂園","兒童樂園"
"以牙還牙","以牙還牙"
"祖先","祖先"
"古","古"
"和","和"
"而且","而且"
"角","角"
"火大","火大_A"
"火大","火大_B"
"動物","動物"
"兼併","兼併"
"宣佈","宣佈"
"回答","回答"
"螞蟻","螞蟻_A"
"螞蟻","螞蟻_B"
"反","反"
"大廈","大廈_A"
"大廈","大廈_B"
"中風","中風"
"上告","上告"
"鼓掌","鼓掌"
"約","約_B"
"學徒","學徒_A"
"學徒","學徒_B"
"大約","大約"
"檳榔","檳榔"
"環島","環島"
"安排","安排"
"佈置","佈置"
"到","到"
"遲到","遲到_A"
"目中無人","目中無人_B"
"目中無人","目中無人_C"
"人工電子耳","人工電子耳"
"不要臉","不要臉_A"
"亞","亞"
"亞洲","亞洲"
"問","問"
"互問","互問"
"分配","分配"
"刮目相看","刮目相看"
"在","在"
"攻擊","攻擊"
"企圖","企圖"
"勾引","勾引"
"典禮","典禮"
"澳洲","澳洲_A"
"澳洲","澳洲_B"
"澳洲","澳洲_C"
"見錢眼開","見錢眼開_B"
"見錢眼開","見錢眼開_A"
"見錢眼開","見錢眼開_C"
"見錢眼開","見錢眼開_D"
"獎狀","獎狀"
"青","青"
"把","把"
"嬰兒","嬰兒"
"光棍","光棍_B"
"單身女","單身女"
"後面","後面"
"壞","壞"
"壞習慣","壞習慣_A"
"壞習慣","壞習慣_B"
"不好看","不好看"
"倒楣","倒楣_A"
"倒楣","倒楣_B"
"運氣差","運氣差_A"
"乞丐","乞丐_A"
"乞丐","乞丐_B"
"保釋","保釋"
"禿頭","禿頭"
"球","球"
"原子筆","原子筆_A"
"原子筆","原子筆_B"
"竹子","竹子_N"
"竹子","竹子_S"
"筍","筍_A"
"筍","筍_B"
"香蕉","香蕉"
"板橋","板橋"
"銀行","銀行"
"垮台","垮台"
"赤膊","赤膊"
"根本","根本_N"
"根本","根本_S"
"棒球","棒球_A"
"棒球","棒球_B"
"籃子","籃子"
"籃球","籃球"
"洗澡","洗澡_A"
"洗澡","洗澡_B"
"搏鬥","搏鬥"
"烤肉","烤肉"
"是","是"
"出獄","出獄_A"
"出獄","出獄_B"
"忙得不可開交","忙得不可開交"
"吃不消","吃不消_A"
"吃不消","吃不消_B"
"吃不消","吃不消_C"
"豆","豆"
"熊","熊"
"八字鬍","鬍子(八字鬍)"
"鬍子","鬍子"
"美","美_N"
"美","美_S"
"床","床"
"蜜蜂","蜜蜂"
"傳呼機","傳呼機"
"啤酒","啤酒"
"之前","之前"
"求","求"
"被發現","被發現_A"
"被發現","被發現_B"
"北投","北投_A"
"北投","北投_B"
"相信","相信"
"歧視","歧視_A"
"歧視","歧視_B"
"鈴","鈴_B"
"鈴","鈴_A"
"以下","以下"
"腰帶","腰帶"
"仁","仁"
"打賭","打賭_A"
"打賭","打賭_B"
"間","間_A"
"間","間_B"
"飲料","飲料"
"自行車","自行車_A"
"自行車","自行車_B"
"標會","標會"
"得標","得標_A"
"得標","得標_B"
"大","大"
"撞球","撞球"
"鳥","鳥"
"出生","出生"
"生","生_B"
"咬","咬"
"黑","黑"
"勒索","勒索"
"黑市","黑市"
"陰溝裡翻船","陰溝裡翻船_A"
"陰溝裡翻船","陰溝裡翻船_B"
"盲","盲"
"血","血_A"
"血","血_B"
"血型","血型"
"吹","吹"
"藍","藍"
"唬人","唬人"
"看不清楚","看不清楚"
"臉紅","臉紅"
"吹牛","吹牛"
"舟","舟"
"身體","身體_A"
"身體","身體_B"
"煮","煮"
"臉皮厚","臉皮厚"
"骨頭","骨頭"
"書","書"
"麻煩","麻煩"
"盆","盆"
"保齡球","保齡球"
"盒子","盒子"
"童子軍","童子軍"
"煞車","煞車_A"
"失約","失約_B"
"樹枝","樹枝"
"分支機關","分支機關"
"胸罩","胸罩_A"
"胸罩","胸罩_B"
"勇敢","勇敢"
"麵包","麵包"
"打破","打破"
"呼吸","呼吸"
"喘","喘"
"賄賂","賄賂"
"橋","橋"
"光","光_B"
"明","明"
"抗議","抗議"
"大開眼界","大開眼界"
"咖啡色","咖啡色"
"刷子","刷子"
"桶子","桶子"
"佛","佛"
"昆蟲","昆蟲"
"負荷","負荷"
"埋葬","埋葬"
"公共汽車","公共汽車_A"
"生意","生意"
"熱鬧","熱鬧_A"
"熱鬧","熱鬧_B"
"忙","忙"
"不過","不過"
"蝴蝶","蝴蝶"
"屁股","屁股"
"鈕扣","鈕扣"
"買","買_A"
"買","買_B"
"櫃子","櫃子"
"蛋糕","蛋糕"
"日曆","日曆"
"叫","叫"
"點名","點名"
"書法","書法"
"息怒","息怒"
"駱駝","駱駝"
"照相","照相_A"
"拍照","拍照_B"
"能","能"
"罐頭","罐頭_A"
"罐頭","罐頭_B"
"會一點","會一點_A"
"會一點","會一點_B"
"一筆勾銷","一筆勾銷"
"癌症","癌症"
"蠟燭","蠟燭"
"糖果","糖果_A"
"糖果","糖果_B"
"糖果","糖果_C"
"炮","炮_A"
"炮","炮_B"
"拮据","拮据_A"
"想不起來","想不起來_B"
"忍不住","忍不住"
"不行","不行"
"未遂","未遂"
"聽不見","聽不見"
"京","京_N"
"京","京_S"
"車","車_A_N"
"車禍","車禍_A"
"車禍","車禍_B"
"車","車_B_N"
"車","車_S"
"閃光信號車","閃光信號車"
"片","片"
"注意","注意"
"不小心","不小心_A"
"不小心","不小心_B"
"刨木頭","刨木頭"
"木匠","木匠"
"毛毯","毛毯"
"帶","帶"
"提燈","提燈"
"提","提"
"挑","挑_A"
"挑","挑_B"
"雕刻","雕刻"
"貓","貓"
"抓","抓_A"
"抓","抓_B"
"感冒","感冒_A"
"感冒","感冒_B"
"剁","剁"
"分類","分類_B"
"天主教","天主教"
"山洞","山洞"
"天花板","天花板"
"慶祝","慶祝_A"
"慶祝","慶祝_B"
"細胞","細胞"
"央","央"
"椅子","椅子"
"主席","主席"
"粉筆","粉筆"
"張","張"
"改","改"
"變成","變成"
"位置交換","位置交換_A"
"位置交換","位置交換_B"
"位置交換","位置交換_C"
"位置交換","位置交換_D"
"彰化","彰化(地名)"
"表格","表格"
"追","追"
"聊天","聊天"
"口沫橫飛","口沫橫飛_A"
"口沫橫飛","口沫橫飛_B"
"口沫橫飛","口沫橫飛_C"
"便宜","便宜_A"
"便宜","便宜_B"
"作弊","作弊"
"厚臉皮","厚臉皮"
"化學","化學"
"陳","陳_A(姓)"
"陳","陳_B(姓)"
"鄭","鄭(姓)"
"櫻桃","櫻桃"
"栗子","栗子"
"嘉義","嘉義_A(地名)"
"嘉義","嘉義_B(地名)"
"雞","雞"
"主任","主任"
"小孩","小孩"
"幼稚","幼稚"
"字","字"
"象棋","象棋"
"油條","油條_N"
"春節","春節_A"
"春節","春節_B"
"春節","春節_C"
"水餃","水餃"
"清朝","清朝"
"邱(姓)","邱(姓)"
"挑選","挑選"
"砍樹","砍樹"
"筷子","筷子_N"
"筷子","筷子_S"
"周","周(姓)"
"基督教","基督教"
"聖誕節","聖誕節_B"
"聖誕節","聖誕節_A"
"菊花","菊花_A"
"菊花","菊花_B"
"川","川"
"教堂","教堂"
"蟬","蟬"
"抽煙","抽煙"
"市","市"
"城","城_N"
"城","城_S"
"文明","文明"
"索賠","索賠"
"蚌","蚌"
"班","班"
"同學","同學_A"
"同學","同學_E"
"同學","同學_B"
"同學","同學_C"
"同學","同學_D"
"同學","同學_F"
"乾淨","乾淨"
"清楚","清楚"
"牧師","牧師"
"關門","關門"
"闔眼","闔眼"
"布","布_A"
"布","布_B"
"衣服","衣服"
"衣架","衣架"
"雲","雲"
"陰天","陰天"
"小丑","小丑_A"
"小丑","小丑_B"
"蟑螂","蟑螂"
"咖啡","咖啡"
"冬","冬_A"
"塌陷","塌陷"
"收集","收集"
"大學","大學"
"顏色","顏色_A"
"式","式_C"
"來","來"
"舒服","舒服_A"
"舒服","舒服_B"
"司空見慣","司空見慣_B"
"命令","命令"
"紀念","紀念"
"會員","會員"
"委員","委員"
"品","品"
"司空見慣","司空見慣_A"
"交際","交際"
"通學","通學_B"
"公司","公司"
"比較","比較"
"賠錢","賠錢"
"比賽","比賽"
"複雜","複雜"
"作文","作文"
"電腦","電腦"
"關心","關心"
"衝突","衝突"
"祝","祝"
"守舊","守舊"
"保守","保守_B"
"一致","一致"
"團結","團結"
"束縛","束縛"
"建設","建設"
"聯絡","聯絡"
"散播","散播"
"簽約","簽約"
"反覆","反覆_A"
"反覆","反覆_B"
"控制","控制_A"
"控制","控制_B"
"筆談","筆談_A"
"餅乾","餅乾"
"抄","抄_A"
"抄","抄_B"
"玉米","玉米"
"正確","正確"
"走廊","走廊"
"貪污","貪污"
"美容","美容"
"棉花","棉花_A"
"棉花","棉花_B"
"咳嗽","咳嗽"
"國","國"
"鄉","鄉"
"縣","縣"
"課","課"
"契約","契約_A"
"契約","契約_B"
"貪心","貪心"
"牛","牛"
"螃蟹","螃蟹_A"
"螃蟹","螃蟹_B"
"鶴","鶴"
"發狂","發狂"
"刑警","刑警"
"批評","批評"
"穿越","穿越"
"烏鴉","烏鴉"
"湧入","湧入"
"擁擠","擁擠"
"殘忍","殘忍"
"哭","哭_A"
"哭","哭_B"
"栽培","栽培"
"文化","文化"
"杯子","杯子"
"醫治","醫治"
"好奇","好奇"
"風俗","風俗"
"切","切"
"缺席","缺席"
"逃學","逃學"
"插隊","插隊"
"一人一半","一人一半"
"降價","降價_A"
"降價","降價_B"
"烏賊","烏賊"
"跳舞","跳舞_N"
"跳舞","跳舞_S"
"當","當"
"不敢吃","不敢吃"
"女兒","女兒"
"日","日_B"
"後天","後天"
"前天","前天"
"日","日_A"
"的","的"
"聾","聾"
"辯論","辯論"
"蛀牙","蛀牙"
"上當","上當"
"越來越少","越來越少"
"深","深_A"
"深","深_B"
"炸","炸"
"鹿","鹿_N"
"鹿","鹿_S"
"一定","一定"
"水準","水準"
"好吃","好吃_B"
"好吃","好吃_A"
"送","送"
"丹麥","丹麥"
"出軌","出軌"
"眾叛親離","眾叛親離_A"
"眾叛親離","眾叛親離_B"
"設計","設計"
"輕視","輕視"
"仔細","仔細"
"彎路","彎路_A"
"彎路","彎路_B"
"字典","字典"
"沒有說什麼","沒有說什麼_A"
"沒有說什麼","沒有說什麼_B"
"死","死"
"相差","相差"
"不一樣","不一樣"
"困難","困難"
"消化","消化"
"用功","用功_A"
"一毛錢","一毛錢"
"導演","導演"
"髒","髒"
"不見蹤跡(指人)","不見蹤跡(指人)"
"失望","失望"
"公開","公開_A"
"公開","公開_B"
"灰心","灰心"
"膩","膩_B"
"看到","看到"
"發現","發現_B"
"發現","發現_C"
"討論","討論"
"討厭","討厭_N"
"討厭","討厭_S"
"盤子","盤子"
"消毒","消毒"
"解散","解散"
"下課","下課"
"展示","展示_A"
"展示","展示_B"
"分發","分發"
"區","區"
"跳水","跳水"
"平均","平均_A"
"平均","平均_B"
"離婚","離婚"
"頭暈","頭暈"
"工作","工作"
"沒關係","沒關係_A"
"沒關係","沒關係_B"
"犬","犬"
"海豚","海豚"
"募捐","募捐_A"
"募捐","募捐_B"
"一竅不通","一竅不通"
"不知道","不知道_N"
"不知道","不知道_S"
"不喜歡","不喜歡_N"
"不喜歡","不喜歡_S"
"不要","不要_N"
"不要","不要_S"
"不管","不管"
"門","門"
"加倍","加倍"
"雙層巴士","雙層巴士"
"下","下_A"
"下","下_B"
"端午節","端午節"
"龍","龍_N"
"龍","龍_S"
"蜻蜓","蜻蜓"
"劇","劇_A"
"劇","劇_B"
"抽","抽"
"抽屜","抽屜"
"做夢","做夢_A"
"做夢","做夢_B"
"扮","扮"
"喝","喝"
"開車","開車"
"汽車駕照","汽車駕照"
"饞嘴","饞嘴"
"退學","退學"
"吸毒","吸毒"
"鼓","鼓"
"乾","乾_A"
"乾","乾_B"
"鴨子","鴨子"
"乏味","乏味_A"
"渴望","渴望"
"鷹","鷹"
"耳朵","耳朵"
"耳罩","耳罩"
"以…為生","以…為生"
"賺錢","賺錢_A"
"賺錢","賺錢_B"
"賺錢","賺錢_C"
"耳塞","耳塞"
"耳環","耳環"
"地球","地球_A"
"地球","地球_B"
"地球","地球_C"
"容易","容易_C"
"擅長","擅長"
"東","東_N"
"東","東_S"
"容易","容易_A"
"容易","容易_B"
"吃","吃"
"吃飯","吃飯_A"
"經濟","經濟"
"經濟部","經濟部"
"效果","效果"
"用功","用功_B"
"蛋","蛋_A"
"卵","卵"
"蛋","蛋_C"
"自大","自大_B"
"埃及","埃及"
"八","八"
"八十","八十"
"電","電_N"
"國小","國小"
"大象","大象"
"電梯","電梯"
"能言善道","能言善道"
"不好意思","不好意思"
"尷尬","尷尬"
"抱","抱"
"刺繡","刺繡"
"皇帝","皇帝"
"空","空_A"
"空","空_B"
"勉勵","勉勵"
"終了","終了_A"
"終了","終了_B"
"終了","終了_C"
"敵人","敵人"
"報仇","報仇_A"
"報仇","報仇_B"
"訂婚","訂婚"
"引擎","引擎"
"工程師","工程師"
"英國","英國"
"英文","英文"
"享受","享受"
"足夠","足夠_N"
"足夠","足夠_S"
"進入","進入"
"業","業"
"招待","招待"
"四周","四周"
"羨慕","羨慕"
"自動扶梯","自動扶梯_B"
"自動扶梯","自動扶梯_A"
"逃","逃"
"成立","成立"
"禮貌","禮貌"
"歐","歐"
"評價","評價"
"不分勝負","不分勝負_A"
"不分勝負","不分勝負_B"
"更","更"
"夜晚","夜晚_A"
"夜晚","夜晚_B"
"各","各"
"每天","每天"
"明察秋毫","明察秋毫"
"超過","超過"
"棒","棒_A"
"棒","棒_B"
"太過分","太過分"
"上下對調","上下對調"
"換","換_A"
"換","換_B"
"換","換_C"
"大便","大便"
"出","出"
"擴大","擴大"
"貴","貴_A"
"貴","貴_B"
"經驗","經驗"
"內行","內行_A"
"內行","內行_B"
"解釋","解釋"
"剝削","剝削"
"運出","運出"
"表","表"
"拔牙","拔牙"
"外遇","外遇"
"眼睛","眼睛"
"眉","眉"
"無中生有","無中生有"
"面孔","面孔"
"工廠","工廠_A"
"工廠","工廠_B"
"不及格","不及格_A"
"失敗","失敗_B"
"失約","失約_A"
"忠","忠"
"落伍","落伍"
"跌倒","跌倒_A"
"跌倒","跌倒_B"
"一見鍾情","一見鍾情_A"
"一見鍾情","一見鍾情_B"
"上學期","上學期_A"
"上學期","上學期_B"
"一年級上學期","一年級上學期"
"假","假"
"家庭","家庭"
"有名","有名_N"
"電風扇","電風扇"
"方","方"
"遠視","遠視"
"農夫","農夫"
"放屁","放屁_A"
"放屁","放屁_B"
"著迷","著迷"
"火速","火速_N"
"火速","火速_S"
"眼光高","眼光高"
"脂肪","脂肪"
"肥肉","肥肉_A"
"緣分","緣分"
"父親","父親"
"伯父","伯父"
"姑姑","姑姑"
"叔叔","叔叔"
"傳真","傳真_A"
"傳真","傳真_B"
"養","養_A"
"養","養_B"
"覺得","覺得"
"思念","思念"
"女生","女生"
"大女人主義","大女人主義"
"女性團體","女性團體"
"豐原","豐原"
"摩天輪","摩天輪"
"發燒","發燒"
"一點","一點"
"田","田"
"兇","兇"
"五十","五十"
"五毛錢","五毛錢"
"打架","打架"
"會計","會計"
"想出來","想出來"
"拍攝","拍攝_A"
"拍攝","拍攝_B"
"拍攝","拍攝_C"
"軟片","軟片_C"
"處罰","處罰"
"完了","完了"
"火","火"
"開除","開除_A"
"去掉","去掉"
"螢火蟲","螢火蟲"
"第一個","第一個"
"小一","小一"
"初級","初級"
"第一名","第一名_N"
"第一名","第一名_S"
"初次","初次"
"魚","魚"
"釣魚","釣魚"
"五","五_A"
"五","五_B"
"旗子","旗子"
"炎","炎"
"手電筒","手電筒"
"乏味","乏味_C"
"沒味道","沒味道_A"
"熨斗","熨斗"
"拍馬屁","拍馬屁_A"
"安慰","安慰"
"誇耀","誇耀"
"花","花"
"日光燈","日光燈"
"飛","飛"
"蒼蠅","蒼蠅"
"泡沫","泡沫"
"埋首","埋首"
"霧","霧"
"追隨","追隨"
"腳","腳"
"因為","因為"
"外國","外國"
"森林","森林"
"忘","忘"
"式","式_A"
"式","式_B"
"正式","正式"
"好險","好險"
"四十","四十"
"找到","找到"
"四","四"
"丁","丁(姓)_A"
"狐狸","狐狸"
"香","香"
"法國","法國"
"坦白","坦白"
"免費","免費"
"公路局","公路局"
"大一","大一"
"星期五","星期五_N"
"星期五","星期五_S"
"朋友","朋友"
"青蛙","青蛙"
"水果","水果"
"滿","滿"
"飽","飽"
"幽默","幽默"
"以後","以後_A"
"以後","以後_B"
"風流","風流"
"干","干"
"黑社會","黑社會"
"車庫","車庫"
"大蒜","大蒜_A"
"大蒜","大蒜_B"
"瓦斯","瓦斯"
"加油站","加油站"
"湊在一起","湊在一起"
"口罩","口罩_B"
"注視","注視"
"壁虎","壁虎"
"地理","地理"
"德國","德國"
"算帳","算帳_A"
"算帳","算帳_B"
"薑","薑"
"長頸鹿","長頸鹿_A"
"長頸鹿","長頸鹿_B"
"長頸鹿","長頸鹿_C"
"給","給_B"
"拋棄","拋棄"
"玻璃","玻璃_N"
"玻璃","玻璃_S"
"眼鏡","眼鏡"
"山谷","山谷"
"光榮","光榮"
"手套","手套"
"去","去_A"
"去","去_B"
"回","回"
"變聾","變聾"
"回家","回家_A"
"回家","回家_B"
"下台","下台"
"下班","下班"
"上台","上台"
"罷工","罷工"
"目的","目的"
"山羊","山羊"
"神","神"
"戒指","戒指"
"好","好_A"
"好","好_B"
"再見","再見"
"福利","福利"
"幸福","幸福"
"搞錯","搞錯_A"
"搞錯","搞錯_B"
"誤會","誤會_B"
"鵝","鵝"
"治","治"
"政府","政府"
"官","官"
"公務員","公務員_A"
"公務員","公務員_B"
"成績","成績"
"畢業","畢業"
"小學畢業","小學畢業"
"國中畢業","國中畢業"
"五穀","五穀"
"孫女","孫女"
"祖父","祖父"
"奶奶","奶奶"
"葡萄","葡萄"
"草","草"
"有名","有名_S"
"偉大","偉大_B"
"希臘","希臘"
"綠","綠"
"蔥","蔥"
"憂傷","憂傷"
"長大","長大"
"等","等_B"
"守衛","守衛"
"芭樂","芭樂"
"猜","猜_A"
"猜","猜_B"
"射擊","射擊"
"習慣","習慣_N"
"習慣","習慣_S"
"髮","髮"
"毛","毛_C"
"理髮","理髮_A"
"理髮","理髮_B"
"半","半"
"半天課","半天課"
"半價","半價"
"堂","堂"
"漢堡","漢堡"
"槌子","槌子"
"手","手"
"殘障","殘障"
"手帕","手帕"
"英俊","英俊"
"掛","掛"
"上吊","上吊_A"
"上吊","上吊_B"
"出事","出事"
"快樂","快樂"
"港","港"
"堅固","堅固"
"害我","害我"
"帽子","帽子_A"
"帽子","帽子_B"
"有","有"
"吃飯","吃飯_B"
"有沒有","有沒有"
"沒有","沒有_A"
"沒有","沒有_B"
"沒有","沒有_C"
"夏威夷","夏威夷"
"他","他_B"
"他","他_A"
"頭","頭"
"會長","會長"
"市長","市長"
"班長","班長"
"家長","家長"
"校長","校長"
"院長","院長"
"健康","健康"
"臉色紅潤","臉色紅潤"
"聽","聽"
"聽人","聽人"
"心","心_A"
"心","心_B"
"重","重"
"幫","幫_N"
"幫","幫_S"
"躲","躲"
"高血壓","高血壓"
"文雅","文雅"
"高跟鞋","高跟鞋"
"跳高","跳高"
"高速公路","高速公路_A"
"高速公路","高速公路_B"
"屬於他","屬於他"
"史","史"
"打","打"
"何(姓)","何(姓)"
"吊車","吊車"
"房子","房子"
"作業","作業"
"香港","香港_A"
"香港","香港_B"
"有面子","有面子"
"流氓","流氓_A"
"流氓","流氓_B"
"希望","希望"
"單槓","單槓"
"馬","馬"
"醫院","醫院_A"
"醫院","醫院_B"
"醫院","醫院_C"
"汗","汗"
"火鍋","火鍋"
"燙","燙_A"
"燙","燙_B"
"屋子","屋子"
"家","家_B"
"戶","戶_A"
"戶","戶_B"
"如何","如何_A"
"好不好","好不好"
"如何","如何_B"
"怎麼會","怎麼會"
"多遠?","多遠?"
"多長?","多長?"
"多少","多少"
"幾小時","幾小時"
"幾個月","幾個月"
"幾次","幾次"
"多重?","多重?"
"年紀","年紀"
"許","許(姓)"
"化","化"
"花蓮","花蓮_N"
"花蓮","花蓮_S"
"謙虛","謙虛"
"百","百_A"
"百","百_B"
"百","百_C"
"億","億"
"百分之一","百分之一"
"飢餓","飢餓"
"趕路","趕路"
"丈夫","丈夫"
"夫婦","夫婦"
"衛生","衛生"
"我","我_A"
"我","我_B"
"冰淇淋","冰淇淋"
"滑冰","滑冰"
"一模一樣","一模一樣_A"
"一模一樣","一模一樣_B"
"一模一樣","一模一樣_C"
"身分證","身分證"
"呆","呆"
"閒閒沒事","閒閒沒事"
"在家閒晃","在家閒晃"
"如果","如果"
"目中無人","目中無人_A"
"視若無睹","視若無睹_B"
"宜蘭","宜蘭"
"違法","違法"
"文盲","文盲"
"模仿","模仿"
"不久","不久"
"運入","運入"
"不可能","不可能"
"內","內"
"勾結","勾結"
"直排輪","直排輪"
"順便","順便"
"前面","前面"
"白費","白費_A"
"白費","白費_B"
"偏","偏"
"包括","包括"
"不一致","不一致"
"不對","不對"
"越來越多","越來越多"
"也許","也許"
"獨立","獨立"
"印度","印度_N"
"印度","印度_S"
"印第安人","印第安人"
"個","個"
"印尼","印尼"
"莫名其妙","莫名其妙"
"傳染病","傳染病"
"打針","打針_A"
"受傷","受傷"
"打針","打針_B"
"分期付款","分期付款"
"唆使","唆使"
"侮辱","侮辱"
"保險","保險"
"腦筋好","腦筋好"
"干涉","干涉"
"腸子","腸子"
"點滴","點滴"
"介紹","介紹"
"反省","反省"
"拜託","拜託"
"創作","創作"
"投資","投資_A"
"投資","投資_B"
"調查","調查"
"請客","請客"
"鐵","鐵"
"島","島"
"以色列","以色列"
"義大利","義大利"
"都是我不好","都是我不好_A"
"都是我不好","都是我不好_B"
"玉","玉"
"監獄","監獄"
"果醬","果醬"
"一月","一月"
"日本","日本"
"嫉妒","嫉妒"
"恨","恨"
"局","局"
"加入","加入_A"
"加入","加入_B"
"法官","法官_A"
"法官","法官_B"
"評審","評審"
"柔道","柔道"
"跳","跳"
"國中","國中"
"正","正"
"剛剛","剛剛"
"袋鼠","袋鼠"
"高雄","高雄(地名)"
"基隆","基隆_A(地名)"
"基隆","基隆_B(地名)"
"保持距離","保持距離"
"蕃茄醬","蕃茄醬"
"鑰匙","鑰匙"
"腎","腎_A"
"腎","腎_B"
"殺","殺"
"慈祥","慈祥"
"好心","好心"
"幼稚園","幼稚園"
"善良","善良"
"金剛","金剛"
"吻","吻"
"廚房","廚房"
"風箏","風箏"
"跪","跪"
"刀子","刀子"
"打毛線","打毛線"
"認識","認識_B"
"知道","知道_N"
"知道","知道_S"
"知識","知識"
"見識","見識"
"韓國","韓國"
"孔 (姓)","孔 (姓)"
"郭 (姓)","郭 (姓)"
"工","工"
"缺","缺_A"
"缺","缺_B"
"池","池"
"土","土"
"巷","巷"
"語言","語言"
"蘭嶼","蘭嶼_A"
"蘭嶼","蘭嶼_B"
"大量","大量"
"姓","姓"
