"input","output"
"上個星期","上個星期"
"一年以前","一年以前"
"遲到","遲到_B"
"元宵節","元宵節"
"笑","笑"
"尺","尺"
"圍毆","圍毆_A"
"圍毆","圍毆_B"
"懶惰","懶惰"
"領導","領導"
"領袖","領袖"
"葉子","葉子"
"打小報告","打小報告"
"依靠","依靠"
"走了","走了_A"
"走了","走了_B"
"左","左"
"腿","腿"
"檸檬","檸檬_N"
"檸檬","檸檬_S"
"第一課","第一課"
"算了","算了"
"信","信"
"李","李(姓)"
"圖書館","圖書館"
"躺","躺"
"趴著","趴著"
"輕","輕"
"電燈","電燈"
"淡","淡_A"
"淡","淡_B"
"喜歡","喜歡_N"
"喜歡","喜歡_S"
"限制","限制"
"林","林"
"獅子","獅子"
"酒","酒_N"
"小","小"
"小指","小指"
"住","住_A"
"住","住_B"
"活潑","活潑"
"肝","肝"
"色","色_A_S"
"色","色_B_S"
"鎖","鎖"
"經度","經度"
"無聊","無聊"
"久","久"
"跳遠","跳遠"
"長袖","長袖"
"看不起","看不起_B"
"看不起","看不起_A"
"找","找"
"看","看_N"
"看","看_S"
"鬆","鬆"
"搜括","搜括"
"枇杷","枇杷_A"
"枇杷","枇杷_B"
"失","失"
"不好","不好_A"
"愛","愛"
"戀愛","戀愛_A"
"戀愛","戀愛_B"
"降旗","降旗"
"呂","呂 (姓)"
"運氣","運氣"
"運氣好","運氣好"
"行李","行李"
"倫","倫"
"肺臟","肺臟"
"羅","羅"
"色慾","色慾_A"
"色慾","色慾_B"
"好色","好色"
"嗎","嗎"
"機器","機器"
"雜誌","雜誌"
"大方","大方"
"打麻將","打麻將_A"
"寄信","寄信_N"
"寄信","寄信_S"
"主","主"
"中國大陸","中國大陸"
"抽絲剝繭","抽絲剝繭"
"加油","加油"
"化妝","化妝"
"馬來西亞","馬來西亞"
"大男人主義","大男人主義"
"男性團體","男性團體"
"先生","先生"
"男同性戀","男同性戀"
"管理","管理_A"
"管理","管理_B"
"芒果","芒果_N"
"芒果","芒果_S"
"姿態","姿態"
"饅頭","饅頭"
"多","多_A"
"多","多_B"
"多","多_C"
"多次","多次_A"
"屢次","屢次_B"
"毛","毛_A"
"毛","毛_B"
"批改","批改"
"結婚","結婚"
"入贅","入贅"
"嫁","嫁"
"娶","娶"
"亂","亂"
"亂七八糟","亂七八糟_B"
"按摩","按摩_A"
"按摩","按摩_B"
"師傅","師傅"
"碩士","碩士"
"火柴","火柴"
"原料","原料"
"數學","數學"
"可以","可以"
"不可以","不可以"
"不可","不可"
"沙拉醬","沙拉醬"
"意思","意思"
"麻疹","麻疹"
"稱","稱"
"肉","肉_A"
"醫","醫"
"口罩","口罩_A"
"藥","藥"
"見面","見面_A"
"見面","見面_B"
"碰壁","碰壁"
"開會","開會"
"散會","散會"
"瓜","瓜"
"員","員"
"孟","孟"
"月經","月經_A"
"月經","月經_B"
"月經","月經_C"
"苗栗","苗栗"
"麥克風","麥克風"
"中秋節","中秋節"
"中","中_A"
"中美洲","中美洲"
"中","中_B"
"里","里"
"服兵役","服兵役"
"陸軍","陸軍"
"奶","奶_N"
"奶","奶_S"
"鏡子","鏡子"
"頑皮","頑皮_N"
"頑皮","頑皮_S"
"小氣","小氣_B"
"小氣","小氣_A"
"恐怕","恐怕"
"錯","錯"
"虐待","虐待"
"搞錯了(指自己搞錯了)","搞錯了(指自己搞錯了)"
"混合","混合"
"混亂","混亂"
"星期一","星期一_N"
"星期一","星期一_S"
"金錢","金錢"
"存錢","存錢_A"
"和尚","和尚"
"猴子","猴子"
"鬼","鬼_N"
"鬼","鬼_S"
"每個月","每個月"
"月","月"
"清晨","清晨"
"早上","早上_A"
"典當","典當"
"蚊子","蚊子"
"母親","母親"
"舅舅","舅舅"
"阿姨","阿姨"
"摩托車","摩托車"
"機車駕照","機車駕照"
"機車行照","機車行照"
"山","山"
"爬山","爬山_A"
"爬山","爬山_B"
"山峰","山峰_A"
"山峰","山峰_B"
"山坡","山坡"
"灰","灰"
"口","口"
"活動","活動"
"電影","電影"
"感動","感動"
"搬家","搬家_A"
"搬家","搬家_B"
"味精","味精"
"菇","菇_A"
"菇","菇_B"
"音樂","音樂"
"芥末","芥末"
"啞","啞"
"乘法","乘法"
"互相","互相"
"屬於我","屬於我"
"不客氣","不客氣"
"名片","名片"
"印章","印章"
"名字","名字_N"
"名字","名字_S"
"手語名字","手語名字"
"狹窄","狹窄"
"民族","民族"
"天然","天然"
"海軍","海軍_A"
"海軍","海軍_B"
"將來的最近","將來的最近"
"近視","近視"
"脖子","脖子"
"領帶","領帶"
"不用","不用_N"
"不用","不用_S"
"鄰居","鄰居"
"緊張","緊張_A"
"緊張","緊張_B"
"網","網"
"不曾","不曾"
"很久沒有","很久沒有"
"沒聽過","沒聽過_A"
"沒聽過","沒聽過_B"
"新","新"
"元旦","元旦"
"除夕","除夕_A"
"紐約","紐約"
"報紙","報紙"
"下一個","下一個"
"下兩星期","下兩星期_A"
"下兩星期","下兩星期_B"
"下個星期","下個星期"
"明年","明年"
"九","九"
"九十","九十"
"挑剔","挑剔_A"
"挑剔","挑剔_B"
"挑剔","挑剔_C"
"不屑","不屑"
"沒有什麼","沒有什麼(看、吃、讀)_C"
"沒有問題","沒有問題_A"
"沒有問題","沒有問題_B"
"沒有問題","沒有問題_C"
"那有這回事","那有這回事"
"沒有辦法","沒有辦法_A"
"沒有辦法","沒有辦法_B"
"吵鬧","吵鬧"
"都沒有","都沒有"
"不關你的事","不關你的事"
"胡說","胡說_A"
"廢話","廢話_B"
"胡說","胡說_B"
"胡說","胡說_C"
"廢話","廢話_A"
"麵","麵"
"中午","中午"
"師大","師大"
"北","北"
"北美洲","北美洲"
"北極","北極_A"
"北極","北極_B"
"鼻子","鼻子"
"不","不"
"不錯","不錯"
"不是","不是_B"
"不是","不是_A"
"不在乎","不在乎_B"
"不連貫","不連貫"
"不敢","不敢"
"不夠","不夠_B"
"不夠","不夠_A"
"不夠","不夠_C"
"來不及","來不及"
"不給","不給_A"
"不給","不給_B"
"不給","不給_C"
"差勁","差勁"
"不介意","不介意"
"不聽","不聽_A"
"不聽","不聽_B"
"不好吃","不好吃"
"不懂","不懂_A"
"不懂","不懂_B"
"未","未"
"少囉唆","少囉唆"
"沒有事情","沒有事情"
"沒有什麼","沒有什麼(看、吃、讀)_B"
"沒有什麼","沒有什麼(看、吃、讀)_A"
"今天","今天"
"幾號","幾號_A"
"幾號","幾號_B"
"尼姑","尼姑"
"護士","護士"
"肥","肥_A"
"肥","肥_B"
"服從","服從"
"歪斜","歪斜"
"猥褻","猥褻"
"障礙","障礙_A"
"阻礙","阻礙_B"
"出風頭","出風頭"
"有時","有時"
"佔據","佔據_A"
"佔領","佔領_B"
"就是嘛","就是嘛"
"奉獻","奉獻"
"辦公室","辦公室_A"
"辦公室","辦公室_B"
"辦公室","辦公室_C"
"辦公","辦公"
"抵銷","抵銷"
"常常","常常"
"油","油_N"
"油","油_S"
"OK","OK"
"舊","舊_B"
"舊","舊_A"
"年老","年老"
"兄","兄"
"姊姊","姊姊"
"有意","有意"
"故意","故意_C"
"故意","故意_D"
"故意","故意_B"
"一回","一回"
"少一個","少一個_A"
"少一個","少一個_B"
"少一個","少一個_C"
"一","一"
"一個半","一個半"
"一點鐘","一點鐘"
"一天","一天_A"
"一天","一天_B"
"一元","一元"
"一個鐘頭","一個鐘頭_A"
"一小時","一小時_B"
"一小時","一小時_C"
"一分鐘","一分鐘_N"
"一分鐘","一分鐘_S"
"一個月","一個月"
"一秒鐘","一秒鐘"
"一個星期","一個星期"
"洋蔥","洋蔥"
"只","只"
"只有一個","只有一個"
"才","才"
"開門","開門"
"手術","手術"
"悶","悶"
"或","或_A"
"或","或_B"
"口語","口語"
"口腔","口腔"
"橘子","橘子"
"柳丁","柳丁"
"猩猩","猩猩"
"蘭花","蘭花"
"一般","一般_A"
"一般","一般_C"
"一般","一般_B"
"組織","組織_B"
"來源","來源"
"原來","原來"
"大阪","大阪(地名)"
"另外","另外"
"神經病","神經病"
"甲","甲"
"霸道","霸道"
"華僑","華僑"
"超車","超車"
"欠","欠"
"欠債","欠債"
"塔","塔"
"拜拜","拜拜"
"疼","疼"
"油漆","油漆"
"美術","美術"
"臉色蒼白","臉色蒼白"
"玩","玩"
"煎","煎"
"褲子","褲子"
"木瓜","木瓜"
"降落傘","降落傘_A"
"降落傘","降落傘_B"
"遊行","遊行"
"巴黎","巴黎"
"公園","公園"
"停車","停車"
"小組","小組"
"參加","參加"
"及格","及格_A"
"及格","及格_B"
"已經","已經_A"
"消遣","消遣"
"忍受","忍受"
"付帳","付帳"
"桃子","桃子"
"孔雀","孔雀"
"花生","花生_A"
"花生","花生_B"
"削水果","削水果"
"小販","小販"
"偷看","偷看_A"
"偷看","偷看_B"
"剝皮","剝皮"
"筆","筆"
"鉛筆","鉛筆"
"看穿","看穿"
"澎湖","澎湖"
"們","們"
"胡椒","胡椒"
"辣","辣_N"
"辣","辣_S"
"完美","完美"
"完美無缺","完美無缺"
"期","期_A"
"段","段_B"
"人","人_A"
"人","人_B"
"義氣","義氣"
"個性","個性_A"
"個性","個性_B"
"博士","博士"
"菲律賓","菲律賓"
"相片","相片"
"影印","影印_A"
"影印","影印_B"
"運動","運動_A"
"琴","琴"
"欺侮","欺侮"
"扒手","扒手"
"豬","豬_N"
"豬","豬_S"
"堆高機","堆高機"
"枕頭","枕頭_A"
"枕頭","枕頭_B"
"松","松_A"
"松","松_B"
"松","松_C"
"鳳梨","鳳梨_N"
"鳳梨","鳳梨_S"
"乒乓球","乒乓球"
"屏東","屏東_B"
"屏東","屏東_A"
"粉紅色","粉紅色"
"管子","管子"
"投球","投球"
"可憐","可憐"
"可惜","可惜"
"地方","地方"
"約","約_A"
"計畫","計畫_A"
"計畫","計畫_B"
"種","種"
"播放帶","播放帶_A"
"播放帶","播放帶_B"
"笛子","笛子_A"
"笛子","笛子_B"
"打牌","打牌"
"撲克牌","撲克牌_B"
"打麻將","打麻將_B"
"請","請"
"順眼","順眼"
"插座","插座"
"梅","梅"
"詩","詩"
"針對","針對"
"中毒","中毒"
"警車","警車"
"警察","警察"
"污染","污染"
"開罐","開罐"
"貧窮","貧窮"
"冰","冰"
"陶瓷","陶瓷"
"大頭貼","大頭貼"
"佔為己有","佔為己有_B"
"佔為己有","佔為己有_A"
"郵局","郵局_A"
"郵局","郵局_B"
"郵差","郵差_A"
"郵差","郵差_B"
"延期","延期"
"馬鈴薯","馬鈴薯"
"倒","倒"
"倒茶","倒茶_A"
"練習","練習"
"祈禱","祈禱"
"懷孕","懷孕_A"
"準備","準備"
"總統","總統"
"威脅","威脅"
"壓","壓"
"預防","預防"
"出版","出版_N"
"出版","出版_S"
"入獄","入獄"
"探測針","探測針"
"問題","問題"
"手續","手續"
"利","利"
"節目","節目_B"
"進步","進步"
"投影機","投影機"
"發音","發音"
"妓女","妓女_A"
"妓女","妓女_B"
"保護","保護"
"訓導處","訓導處_N"
"自大","自大_A"
"執照","執照"
"公","公"
"公費","公費"
"拉","拉"
"脈搏","脈搏"
"剪票","剪票"
"翁","翁"
"守時","守時"
"刑","刑"
"傀儡","傀儡"
"布袋戲","布袋戲"
"紫","紫"
"推","推"
"放","放"
"上銬","上銬"
"穿衣","穿衣"
"張貼","張貼"
"金字塔","金字塔"
"地震","地震"
"吵","吵"
"吵架","吵架_B"
"安靜","安靜"
"被子","被子"
"兔子","兔子_A"
"兔子","兔子_B"
"賽跑","賽跑"
"下雨","下雨"
"虹","虹"
"升旗","升旗"
"抬頭","抬頭"
"範圍","範圍"
"強姦","強姦"
"生的","生的"
"收割","收割"
"回憶","回憶"
"收據","收據"
"收到","收到"
"收信","收信_N"
"收信","收信_S"
"過去的最近","過去的最近"
"紀錄","紀錄_B"
"紀錄","紀錄_A"
"招募","招募"
"紅","紅_N"
"紅","紅_S"
"反射","反射"
"冰箱","冰箱"
"防禦","防禦"
"報名","報名_A"
"註冊","註冊_A"
"註冊","註冊_B"
"惋惜","惋惜"
"後悔","後悔_N"
"後悔","後悔_S"
"關係","關係"
"親戚","親戚"
"接力賽跑","接力賽跑"
"鬆了一口氣","鬆了一口氣"
"勉強","勉強"
"保存","保存"
"背誦","背誦"
"借","借"
"租","租"
"報告","報告"
"名譽","名譽"
"救","救"
"研究","研究_A"
"研究","研究_B"
"研究","研究_C"
"辭職","辭職"
"抗拒","抗拒"
"尊敬","尊敬"
"負責","負責_A"
"負責","負責_B"
"休息","休息"
"餐廳","餐廳_A"
"餐廳","餐廳_B"
"恢復","恢復"
"退步","退步"
"揭開","揭開"
"回復","回復"
"革命","革命"
"轉","轉"
"犀牛","犀牛_A"
"犀牛","犀牛_B"
"米","米"
"稀飯","稀飯_A"
"稀飯","稀飯_B"
"稀飯","稀飯_C"
"粽子","粽子_N"
"粽子","粽子_S"
"有錢","有錢"
"譏笑","譏笑"
"右","右"
"拼命","拼命"
"河","河"
"路","路"
"平交道","平交道"
"搶","搶_A"
"搶","搶_B"
"強盜","強盜"
"火箭","火箭"
"捲","捲"
"搓(湯圓)","搓(湯圓)"
"溜冰","溜冰_A"
"溜冰","溜冰_B"
"室","室"
"繩子","繩子"
"玫瑰","玫瑰"
"圓","圓"
"划","划"
"划船","划船"
"橡皮擦","橡皮擦"
"橄欖球","橄欖球"
"規則","規則"
"跑","跑_A"
"跑","跑_B"
"流鼻涕","流鼻涕_A"
"流鼻涕","流鼻涕_B"
"奔波","奔波"
"蘇(姓)","蘇(姓)"
"傷心","傷心_A"
"傷心","傷心_B"
"帆船","帆船"
"口沫","口沫"
"鹹","鹹_N"
"鹹","鹹_S"
"一樣","一樣"
"通用","通用"
"三重","三重(地名)"
"三明治","三明治_A"
"三明治","三明治_B"
"聖誕老人","聖誕老人"
"星期六","星期六_N"
"星期六","星期六_S"
"節省","節省_A"
"存錢","存錢_B"
"珍惜","珍惜"
"士","士"
"學校","學校"
"剪刀","剪刀"
"罵","罵_A"
"罵","罵_B"
"刮(彩卷)","刮(彩卷)"
"海","海"
"取消","取消"
"季","季"
"第二個","第二個"
"第二名","第二名_N"
"第二名","第二名_S"
"乙","乙_A"
"乙","乙_B"
"保密","保密"
"秘密","秘密_B"
"秘密戀愛","秘密戀愛"
"段","段_A"
"見","見"
"探索","探索_A"
"探索","探索_B"
"看多了","看多了"
"把握時間","把握時間_A"
"把握時間","把握時間_B"
"自己","自己_N"
"自己","自己_S"
"自立自強","自立自強"
"自私","自私_A"
"自私","自私_B"
"售","售"
"高中","高中"
"分","分"
"佣人","佣人"
"服務","服務_N"
"服務","服務_S"
"七","七"
"7-11","7-11_N"
"7-11","7-11_S"
"七十","七十"
"縫","縫"
"生殖器","生殖器"
"性交","性交_A"
"性交","性交_B"
"性交","性交_C"
"影子","影子_A"
"影子","影子_B"
"搖動","搖動"
"握手","握手"
"淺","淺"
"丟臉","丟臉"
"不要臉","不要臉_B"
"刮鬍子","刮鬍子"
"剃光頭","剃光頭_A"
"剃光頭","剃光頭_B"
"她","她"
"貝","貝"
"事","事_B"
"卸責給他","卸責給他"
"士林","士林"
"卸責","卸責"
"襯衫","襯衫"
"鞋子","鞋子_N"
"鞋子","鞋子_S"
"低","低"
"近","近"
"拮据","拮据_B"
"短袖","短袖"
"捷徑","捷徑"
"應該","應該"
"吼","吼"
"示範","示範"
"顯眼","顯眼"
"蝦","蝦"
"閉嘴","閉嘴_A"
"閉嘴","閉嘴_B"
"閉嘴","閉嘴_C"
"百葉窗","百葉窗"
"害羞","害羞"
"生病","生病"
"邊","邊"
"手語","手語"
"報名","報名_B"
"細","細"
"銀","銀"
"如同","如同"
"以為","以為"
"老實","老實"
"多才多藝","多才多藝_A"
"多才多藝","多才多藝_B"
"身兼數職","身兼數職"
"唱","唱"
"沉","沉"
"坐","坐"
"情形","情形"
"六","六"
"小六","小六"
"六十","六十"
"滑雪","滑雪"
"厲害","厲害_A"
"厲害","厲害_B"
"皮","皮"
"裙子","裙子"
"天","天_A"
"天","天_B"
"睡","睡_A"
"睡","睡_B"
"睡","睡_C"
"打盹","打盹"
"睏","睏"
"溜滑梯","溜滑梯_A"
"溜滑梯","溜滑梯_B"
"拖鞋","拖鞋_C"
"拖鞋","拖鞋_A"
"拖鞋","拖鞋_B"
"慢","慢_N"
"慢","慢_S"
"揍人","揍人"
"狡猾","狡猾_A"
"狡猾","狡猾_B"
"聰明","聰明_A"
"聰明","聰明_B"
"抹片","抹片"
"聞","聞_A"
"臭","臭"
"微笑","微笑"
"走私","走私"
"零食","零食_A"
"零食","零食_B"
"蝸牛","蝸牛_A"
"蝸牛","蝸牛_B"
"蛇","蛇"
"折斷","折斷_A"
"折斷","折斷_B"
"雪","雪_A"
"所謂","所謂"
"肥皂","肥皂_N"
"肥皂","肥皂_S"
"足球","足球"
"社會","社會_S"
"離開","離開"
"襪子","襪子"
"汽水","汽水_N"
"佔領","佔領_A"
"軟","軟"
"柔軟","柔軟"
"孤獨","孤獨_B"
"解決","解決"
"翻跟斗","翻跟斗"
"兒子","兒子"
"對不起","對不起"
"靈魂","靈魂"
"聲音","聲音"
"湯","湯"
"酸","酸_A"
"酸","酸_B"
"南","南_A"
"南美洲","南美洲"
"南","南_B"
"南極","南極"
"醬油","醬油"
"豆漿","豆漿"
"寬","寬_A"
"寬","寬_B"
"西班牙","西班牙"
"扭傷","扭傷"
"說","說"
"說話","說話_B"
"優待","優待_A"
"優待","優待_B"
"特別","特別_N"
"特別","特別_S"
"專長","專長"
"名產","名產"
"話","話"
"演講","演講_N"
"演講","演講_S"
"快艇","快艇"
"蜘蛛","蜘蛛"
"精神","精神"
"運動","運動_B"
"流傳","流傳"
"下學期","下學期_A"
"下學期","下學期_B"
"一年級下學期","一年級下學期"
"發芽","發芽"
"奸細","奸細_A"
"奸細","奸細_B"
"松鼠","松鼠"
"郵票","郵票"
"站","站"
"排隊","排隊"
"站起來","站起來"
"星星","星星"
"楊桃","楊桃"
"打開","打開"
"吃驚","吃驚"
"嚇一跳","嚇一跳_B"
"州","州"
"站牌","站牌"
"小偷","小偷"
"包子","包子"
"步驟","步驟_A"
"步驟","步驟_B"
"貼","貼"
"黏","黏"
"依然","依然_A"
"刺激","刺激_A"
"刺激","刺激_B"
"攪","攪"
"炒","炒"
"股票","股票"
"胃","胃"
"石頭","石頭"
"止","止"
"儲放","儲放"
"倉庫","倉庫"
"樓","樓"
"故事","故事"
"直","直"
"奇怪","奇怪_N"
"奇怪","奇怪_S"
"條紋","條紋"
"力量","力量"
"嚴格","嚴格"
"強","強"
"壯","壯"
"固執","固執_A"
"固執","固執_B"
"學生","學生"
"學生證","學生證"
"唸書","唸書"
"湯圓","湯圓"
"笨","笨_A"
"笨","笨_B"
"副","副"
"部屬","部屬"
"代替","代替"
"剩","剩"
"一瞬間","一瞬間_A"
"一瞬間","一瞬間_B"
"賠本","賠本"
"划不來","划不來"
"多的是","多的是"
"釋迦","釋迦"
"甜","甜_N"
"甜","甜_S"
"甘蔗","甘蔗_A"
"甘蔗","甘蔗_B"
"提出","提出"
"建議","建議"
"自殺","自殺"
"西裝","西裝"
"太陽","太陽"
"孫","孫(姓)"
"星期天","星期天_S_B"
"星期天","星期天_N"
"星期天","星期天_S_A"
"晴天","晴天_A"
"晴天","晴天_B"
"日出","日出"
"夕陽","夕陽"
"較優","較優"
"供應","供應_A"
"供應","供應_B"
"支持","支持_A"
"場","場"
"大於勝過","大於勝過"
"投降","投降_A"
"投降","投降_B"
"吊橋","吊橋"
"燕子","燕子"
"瑞典","瑞典"
"打掃","打掃"
"掃地","掃地"
"清明節","清明節"
"地瓜","地瓜"
"游泳","游泳_A"
"游泳","游泳_B"
"欺騙","欺騙"
"鞦韆","鞦韆"
"瑞士","瑞士"
"劍","劍"
"系列","系列"
"桌子","桌子"
"不約而同","不約而同_A"
"不約而同","不約而同_B"
"台中","台中_A"
"台中","台中_B"
"最後","最後"
"裁縫","裁縫"
"台南","台南_A"
"台南","台南_B"
"台北","台北"
"台灣","台灣"
"肉圓","肉圓"
"歌仔戲","歌仔戲"
"取","取"
"佔便宜","佔便宜"
"保重","保重"
"照顧","照顧_A"
"照顧","照顧_B"
"脫衣","脫衣"
"依序","依序"
"長舌","長舌"
"高","高_A"
"淡水","淡水(地名)"
"坦克車","坦克車"
"錄音帶","錄音帶_A"
"錄音帶","錄音帶_B"
"錄音","錄音"
"泰山","泰山"
"味道","味道"
"沒味道","沒味道_B"
"沒味道","沒味道_C"
"稅","稅_A"
"稅","稅_B"
"計程車","計程車"
"茶","茶_A"
"茶","茶_B"
"教","教"
"老師","老師_S"
"老師","老師_N"
"技巧","技巧"
"電報","電報"
"電話","電話"
"望遠鏡","望遠鏡_A"
"望遠鏡","望遠鏡_B"
"望遠鏡","望遠鏡_C"
"電視","電視"
"告訴","告訴"
"實話實說","實話實說"
"廟","廟"
"暫時","暫時"
"暫停","暫停"
"十","十_N"
"十","十_S"
"萬","萬"
"十萬","十萬_B"
"十萬","十萬_A"
"考","考_N"
"考","考_S"
"泰國","泰國"
"感謝","感謝_A"
"感謝","感謝_B"
"一言為定","一言為定"
"他倆","他倆"
"我倆","我倆"
"你倆","你倆"
"視野狹窄","視野狹窄"
"全台灣","全台灣_N"
"全台灣","全台灣_S"
"電影院","電影院"
"就","就"
"那","那"
"一定沒有問題","一定沒有問題_A"
"一定沒有問題","一定沒有問題_B"
"一定沒有問題","一定沒有問題_C"
"他們","他們"
"厚","厚_A"
"厚","厚_B"
"瘦","瘦"
"薄","薄"
"東西","東西"
"想","想"
"丙","丙"
"口渴","口渴"
"三十","三十"
"這","這"
"千","千_A"
"千","千_B"
"三","三"
"喉","喉"
"扔掉","扔掉"
"圖釘","圖釘"
"星期四","星期四_N"
"星期四","星期四_S"
"老虎","老虎"
"時間","時間_A"
"時間","時間_B"
"時間","時間_S"
"時候","時候"
"丁","丁(姓)_B"
"勞累","勞累"
"乏味","乏味_B"
"辛苦","辛苦"
"頒獎","頒獎"
"聽說","聽說_A"
"聽說","聽說_B"
"出租","出租"
"死背","死背"
"入殮","入殮"
"投奔","投奔"
"花錢","花錢"
"一同","一同"
"一起","一起_B"
"馬桶","馬桶"
"衛生紙","衛生紙"
"蕃茄","蕃茄_A"
"蕃茄","蕃茄_B"
"明天","明天"
"嫌少","嫌少"
"慘不忍睹","慘不忍睹"
"太多","太多"
"牙齒","牙齒"
"牙刷","牙刷"
"頂","頂"
"接觸","接觸"
"豆腐","豆腐"
"不認輸","不認輸"
"拖吊","拖吊"
"向","向"
"軌道","軌道_A"
"軌道","軌道_B"
"交通","交通"
"塞車","塞車"
"訓練","訓練_A"
"訓練","訓練_B"
"訓練","訓練_C"
"火車","火車_N"
"火車","火車_S"
"翻譯","翻譯"
"運輸","運輸"
"旅行團","旅行團"
"旅行","旅行"
"環遊世界","環遊世界"
"樹","樹"
"發抖","發抖"
"三角形","三角形"
"三腳架","三腳架"
"傷腦筋","傷腦筋"
"卡車","卡車"
"真","真"
"試試看","試試看_N"
"試試看","試試看_S"
"曹","曹(姓)"
"星期二","星期二_N"
"星期二","星期二_S"
"拔河","拔河"
"不倒翁","不倒翁"
"火雞","火雞"
"熄燈","熄燈"
"轉鈕","轉鈕"
"蘿蔔","蘿蔔"
"周轉","周轉"
"龜","龜"
"二十","二十"
"二","二"
"兩個","兩個"
"二合一","二合一"
"上兩星期","上兩星期_A"
"上兩星期","上兩星期_B"
"打字","打字"
"颱風","颱風"
"醜","醜_A"
"醜","醜_B"
"超音波","超音波"
"雨傘","雨傘"
"不會","不會_N"
"不會","不會_S"
"想不起來","想不起來_A"
"不認識","不認識_B"
"不清楚","不清楚"
"不在乎","不在乎_A"
"不知不覺","不知不覺"
"地下道","地下道"
"不料","不料_A"
"不料","不料_B"
"不認識","不認識_A"
"當耳邊風","當耳邊風_A"
"當耳邊風","當耳邊風_B"
"當耳邊風","當耳邊風_C"
"制服","制服"
"統一","統一"
"一枝獨秀","一枝獨秀"
"聯合","聯合"
"美國","美國_A"
"美國","美國_B"
"除非","除非"
"開鎖","開鎖"
"不幸","不幸_A"
"不幸","不幸_B"
"倒楣","倒楣_C"
"看不順眼","看不順眼"
"壞話","壞話"
"不合適","不合適_A"
"不合適","不合適_B"
"不服","不服"
"上","上_A"
"上","上_B"
"升級","升級"
